"Business.address","Trading.name","Seating_type","Number_of_seats","Census.year","Block.ID","Property.ID","Base.property.ID","Building.address","CLUE.small.area","Industry..ANZSIC4..code","Industry..ANZSIC4..description","Longitude","Latitude","location"
"524 Macaulay Road KENSINGTON VIC 3031","Melba Social","Indoor",80,2022,2523,614830,614830,"524 Macaulay Road KENSINGTON VIC 3031","Kensington",4511,"Cafes and Restaurants",144.9286331931,-37.7940418460285,"-37.79404184602849, 144.9286331931"
"Unit 1, 198 Harbour Esplanade DOCKLANDS VIC 3008","Melbourne Bay Restaurant","Indoor, Outdoor",71,2022,1102,609314,609314,"194-206 Harbour Esplanade DOCKLANDS VIC 3008","Docklands",4511,"Cafes and Restaurants",144.94493865055,-37.8139945201519,"-37.813994520151894, 144.94493865055"
"Shop TG08 20 Convention Centre Place SOUTH WHARF VIC 3006","Melbourne Cellar Door","Indoor, Outdoor",244,2022,804,110542,110484,"South Wharf Retail 20-30 Convention Centre Place SOUTH WHARF VIC 3006","Southbank",4511,"Cafes and Restaurants",144.95231930285,-37.82542998795,"-37.82542998795, 144.95231930285"
"Shop 303, Level 3 300 Lonsdale Street MELBOURNE VIC 3000","Melbourne Central Lion Hotel","Indoor",110,2022,85,105746,105746,"Melbourne Central 183-265 La Trobe Street MELBOURNE VIC 3000","Melbourne (CBD)",4520,"Pubs, Taverns and Bars",144.962838870636,-37.8109017475,"-37.8109017475, 144.96283887063584"
"Shop 117, Level 1 235 Little Bourke Street MELBOURNE VIC 3000","Melbourne Dae Jang Geum Korean BBQ","Indoor",120,2022,56,101199,101199,"246-260 Bourke Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.96584922975,-37.8129312992502,"-37.81293129925022, 144.96584922975"
"Melbourne Exhibition Centre 2 Clarendon Street SOUTH WHARF VIC 3006","Melbourne Exhibition Centre","Indoor",31,2022,804,623557,110484,"Melbourne Exhibition Centre 2 Clarendon Street SOUTH WHARF VIC 3006","Southbank",7299,"Other Administrative Services n.e.c.",144.95231930285,-37.82542998795,"-37.82542998795, 144.95231930285"
"Level 1-10 600 Little Bourke Street MELBOURNE VIC 3000","Melbourne Hotel CBD","Indoor",38,2022,61,105857,105857,"594-600 Little Bourke Street MELBOURNE VIC 3000","Melbourne (CBD)",4400,"Accommodation",144.9545714017,-37.8153749517285,"-37.815374951728515, 144.95457140169998"
"Ground 562 Little Bourke Street MELBOURNE VIC 3000","Melbourne Hwaro Korean BBQ","Indoor, Outdoor",112,2022,62,105860,105860,"562-566 Little Bourke Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.9556696588,-37.815018854102,"-37.81501885410203, 144.9556696588"
"Adjacent Kiosk 27 Racecourse Road NORTH MELBOURNE VIC 3051","Melbourne Kebab Box","Outdoor",10,2022,2384,617689,617689,"27-31 Racecourse Road NORTH MELBOURNE VIC 3051","North Melbourne",4512,"Takeaway Food Services",144.94096077615,-37.7897428072002,"-37.78974280720024, 144.94096077615"
"15 Waterfront Way DOCKLANDS VIC 3008","Melbourne Marriott Hotel Docklands","Indoor",150,2022,1110,620318,620318,"3-43 Waterfront Way DOCKLANDS VIC 3008","Docklands",4400,"Accommodation",144.93913840305,-37.813721430462,"-37.813721430462024, 144.93913840305"
"15 Dukes Walk SOUTH WHARF VIC 3006","Melbourne Public","Outdoor, Indoor",450,2022,804,623559,110484,"Pan Pacific Melbourne 2 Convention Centre Place SOUTH WHARF VIC 3006","Southbank",4520,"Pubs, Taverns and Bars",144.95231930285,-37.82542998795,"-37.82542998795, 144.95231930285"
"Marvel Stadium 740 Bourke Street DOCKLANDS VIC 3008","Melbourne Stadiums Limited","Indoor",950,2022,1103,558180,558180,"Marvel Stadium 122-148 Harbour Esplanade DOCKLANDS VIC 3008","Docklands",9113,"Sports and Physical Recreation Venues, Grounds and Facilities Operation",144.947560241207,-37.81674197865,"-37.81674197865, 144.94756024120727"
"260 Victoria Street NORTH MELBOURNE VIC 3051","Melbourne Toodouri","Indoor",60,2022,361,109839,109839,"260 Victoria Street NORTH MELBOURNE VIC 3051","North Melbourne",4511,"Cafes and Restaurants",144.95772344215,-37.8058422659883,"-37.80584226598827, 144.95772344215"
"Level 1 270A Russell Street MELBOURNE VIC 3000","Melbourne Whisky Room","Indoor",45,2022,77,108573,108573,"270 Russell Street MELBOURNE VIC 3000","Melbourne (CBD)",4520,"Pubs, Taverns and Bars",144.967164012098,-37.81011057515,"-37.81011057515, 144.96716401209824"
"38-40 Lonsdale Street MELBOURNE VIC 3000","Mellow Beans","Indoor, Outdoor",64,2022,78,110715,580091,"38-40 Lonsdale Street MELBOURNE VIC 3000","Melbourne (CBD)",4511,"Cafes and Restaurants",144.97072895345,-37.8091961510796,"-37.809196151079576, 144.97072895345"
